trial name,tunable,results 1,results 2,results 3,tunable 1,min,default,max,tunable 2,min,default,max
118,220422215053,28324,28398,28007,net.ipv4.tcp_rmem,4096,87380,1000000,net.ipv4.tcp_wmem,4096,16384,4000000
119,220422215205,28367,27896,28253,net.ipv4.tcp_rmem,4096,87380,1000000,net.ipv4.tcp_wmem,4096,16384,6000000
120,220422215317,28447,27988,28315,net.ipv4.tcp_rmem,4096,87380,1000000,net.ipv4.tcp_wmem,4096,16384,8000000
121,220422215428,13.6,13.6,13.5,net.ipv4.tcp_rmem,4096,87380,1500000,net.ipv4.tcp_wmem,4096,16384,20000
122,220422215540,13.5,13.5,13.6,net.ipv4.tcp_rmem,4096,87380,1500000,net.ipv4.tcp_wmem,4096,16384,40000
123,220422215652,26398,26423,27120,net.ipv4.tcp_rmem,4096,87380,1500000,net.ipv4.tcp_wmem,4096,16384,75000
124,220422215803,26537,26867,26817,net.ipv4.tcp_rmem,4096,87380,1500000,net.ipv4.tcp_wmem,4096,16384,100000
125,220422215915,28032,27923,27973,net.ipv4.tcp_rmem,4096,87380,1500000,net.ipv4.tcp_wmem,4096,16384,150000
126,220422220027,28202,27676,27831,net.ipv4.tcp_rmem,4096,87380,1500000,net.ipv4.tcp_wmem,4096,16384,200000
127,220422220138,27506,27188,27353,net.ipv4.tcp_rmem,4096,87380,1500000,net.ipv4.tcp_wmem,4096,16384,300000
128,220422220250,27460,27723,27115,net.ipv4.tcp_rmem,4096,87380,1500000,net.ipv4.tcp_wmem,4096,16384,500000
129,220422220402,27470,27107,27583,net.ipv4.tcp_rmem,4096,87380,1500000,net.ipv4.tcp_wmem,4096,16384,750000
130,220422220513,27659,27379,27914,net.ipv4.tcp_rmem,4096,87380,1500000,net.ipv4.tcp_wmem,4096,16384,1000000
131,220422220625,27647,27887,27725,net.ipv4.tcp_rmem,4096,87380,1500000,net.ipv4.tcp_wmem,4096,16384,1500000
132,220422220737,27322,27555,27501,net.ipv4.tcp_rmem,4096,87380,1500000,net.ipv4.tcp_wmem,4096,16384,2000000
133,220422220849,27743,28341,27848,net.ipv4.tcp_rmem,4096,87380,1500000,net.ipv4.tcp_wmem,4096,16384,4000000
134,220422221000,28036,28389,28651,net.ipv4.tcp_rmem,4096,87380,1500000,net.ipv4.tcp_wmem,4096,16384,6000000
135,220422221112,28638,28066,28475,net.ipv4.tcp_rmem,4096,87380,1500000,net.ipv4.tcp_wmem,4096,16384,8000000
136,220422221224,13.5,13.5,13.5,net.ipv4.tcp_rmem,4096,87380,2000000,net.ipv4.tcp_wmem,4096,16384,20000
137,220422221335,13.5,13.6,13.6,net.ipv4.tcp_rmem,4096,87380,2000000,net.ipv4.tcp_wmem,4096,16384,40000
138,220422221447,26523,26775,26856,net.ipv4.tcp_rmem,4096,87380,2000000,net.ipv4.tcp_wmem,4096,16384,75000
139,220422221559,26752,27002,26360,net.ipv4.tcp_rmem,4096,87380,2000000,net.ipv4.tcp_wmem,4096,16384,100000
140,220422221710,27120,28188,27801,net.ipv4.tcp_rmem,4096,87380,2000000,net.ipv4.tcp_wmem,4096,16384,150000
141,220422221822,27850,28283,28109,net.ipv4.tcp_rmem,4096,87380,2000000,net.ipv4.tcp_wmem,4096,16384,200000
142,220422221934,27060,27595,27681,net.ipv4.tcp_rmem,4096,87380,2000000,net.ipv4.tcp_wmem,4096,16384,300000
143,220422222046,27669,27069,27394,net.ipv4.tcp_rmem,4096,87380,2000000,net.ipv4.tcp_wmem,4096,16384,500000
144,220422222157,27665,27788,27685,net.ipv4.tcp_rmem,4096,87380,2000000,net.ipv4.tcp_wmem,4096,16384,750000
145,220422222309,27885,27366,27764,net.ipv4.tcp_rmem,4096,87380,2000000,net.ipv4.tcp_wmem,4096,16384,1000000
146,220422222421,27735,27446,27073,net.ipv4.tcp_rmem,4096,87380,2000000,net.ipv4.tcp_wmem,4096,16384,1500000
147,220422222532,27619,27590,27666,net.ipv4.tcp_rmem,4096,87380,2000000,net.ipv4.tcp_wmem,4096,16384,2000000
148,220422222644,28295,28745,27710,net.ipv4.tcp_rmem,4096,87380,2000000,net.ipv4.tcp_wmem,4096,16384,4000000
149,220422222756,28230,28238,28357,net.ipv4.tcp_rmem,4096,87380,2000000,net.ipv4.tcp_wmem,4096,16384,6000000
150,220422222907,28283,28256,28655,net.ipv4.tcp_rmem,4096,87380,2000000,net.ipv4.tcp_wmem,4096,16384,8000000
151,220422223019,13.6,13.6,13.6,net.ipv4.tcp_rmem,4096,87380,4000000,net.ipv4.tcp_wmem,4096,16384,20000
152,220422223131,13.6,13.9,13.7,net.ipv4.tcp_rmem,4096,87380,4000000,net.ipv4.tcp_wmem,4096,16384,40000
153,220422223242,26754,26645,26626,net.ipv4.tcp_rmem,4096,87380,4000000,net.ipv4.tcp_wmem,4096,16384,75000
154,220422223354,25984,26740,26694,net.ipv4.tcp_rmem,4096,87380,4000000,net.ipv4.tcp_wmem,4096,16384,100000
155,220422223506,27897,28016,27978,net.ipv4.tcp_rmem,4096,87380,4000000,net.ipv4.tcp_wmem,4096,16384,150000
156,220422223618,28184,27801,27841,net.ipv4.tcp_rmem,4096,87380,4000000,net.ipv4.tcp_wmem,4096,16384,200000
157,220422223729,27744,27847,27678,net.ipv4.tcp_rmem,4096,87380,4000000,net.ipv4.tcp_wmem,4096,16384,300000
158,220422223841,27788,27776,27707,net.ipv4.tcp_rmem,4096,87380,4000000,net.ipv4.tcp_wmem,4096,16384,500000
159,220422223953,27640,27331,27562,net.ipv4.tcp_rmem,4096,87380,4000000,net.ipv4.tcp_wmem,4096,16384,750000
160,220422224104,27418,27414,27722,net.ipv4.tcp_rmem,4096,87380,4000000,net.ipv4.tcp_wmem,4096,16384,1000000
161,220422224216,27081,27848,27660,net.ipv4.tcp_rmem,4096,87380,4000000,net.ipv4.tcp_wmem,4096,16384,1500000
162,220422224328,27780,27630,27590,net.ipv4.tcp_rmem,4096,87380,4000000,net.ipv4.tcp_wmem,4096,16384,2000000
163,220422224439,28763,27980,28042,net.ipv4.tcp_rmem,4096,87380,4000000,net.ipv4.tcp_wmem,4096,16384,4000000
164,220422224551,28183,27931,28217,net.ipv4.tcp_rmem,4096,87380,4000000,net.ipv4.tcp_wmem,4096,16384,6000000
165,220422224703,28407,28099,28249,net.ipv4.tcp_rmem,4096,87380,4000000,net.ipv4.tcp_wmem,4096,16384,8000000
166,220422224814,13.9,14,14,net.ipv4.tcp_rmem,4096,87380,6000000,net.ipv4.tcp_wmem,4096,16384,20000
167,220422224926,13.9,14,13.9,net.ipv4.tcp_rmem,4096,87380,6000000,net.ipv4.tcp_wmem,4096,16384,40000
168,220422225038,26324,26853,26523,net.ipv4.tcp_rmem,4096,87380,6000000,net.ipv4.tcp_wmem,4096,16384,75000
169,220422225150,25893,26486,26323,net.ipv4.tcp_rmem,4096,87380,6000000,net.ipv4.tcp_wmem,4096,16384,100000
170,220422225301,28324,27937,27925,net.ipv4.tcp_rmem,4096,87380,6000000,net.ipv4.tcp_wmem,4096,16384,150000
171,220422225413,27606,27415,28165,net.ipv4.tcp_rmem,4096,87380,6000000,net.ipv4.tcp_wmem,4096,16384,200000
172,220422225525,27795,27587,27826,net.ipv4.tcp_rmem,4096,87380,6000000,net.ipv4.tcp_wmem,4096,16384,300000
173,220422225636,27429,27608,28136,net.ipv4.tcp_rmem,4096,87380,6000000,net.ipv4.tcp_wmem,4096,16384,500000
174,220422225748,27609,27578,27485,net.ipv4.tcp_rmem,4096,87380,6000000,net.ipv4.tcp_wmem,4096,16384,750000
175,220422225900,27600,27339,27752,net.ipv4.tcp_rmem,4096,87380,6000000,net.ipv4.tcp_wmem,4096,16384,1000000
176,220422230011,27875,27886,27981,net.ipv4.tcp_rmem,4096,87380,6000000,net.ipv4.tcp_wmem,4096,16384,1500000
177,220422230123,27366,27440,27890,net.ipv4.tcp_rmem,4096,87380,6000000,net.ipv4.tcp_wmem,4096,16384,2000000
178,220422230235,27873,28142,28244,net.ipv4.tcp_rmem,4096,87380,6000000,net.ipv4.tcp_wmem,4096,16384,4000000
179,220422230346,28460,28054,28180,net.ipv4.tcp_rmem,4096,87380,6000000,net.ipv4.tcp_wmem,4096,16384,6000000
180,220422230458,28523,28393,28914,net.ipv4.tcp_rmem,4096,87380,6000000,net.ipv4.tcp_wmem,4096,16384,8000000
181,220422230610,14.4,14.3,14.3,net.ipv4.tcp_rmem,4096,87380,8000000,net.ipv4.tcp_wmem,4096,16384,20000
182,220422230721,14.3,14.3,14.3,net.ipv4.tcp_rmem,4096,87380,8000000,net.ipv4.tcp_wmem,4096,16384,40000
183,220422230833,26853,26076,26103,net.ipv4.tcp_rmem,4096,87380,8000000,net.ipv4.tcp_wmem,4096,16384,75000
184,220422230945,26707,26823,26275,net.ipv4.tcp_rmem,4096,87380,8000000,net.ipv4.tcp_wmem,4096,16384,100000
185,220422231057,28001,27765,28121,net.ipv4.tcp_rmem,4096,87380,8000000,net.ipv4.tcp_wmem,4096,16384,150000
186,220422231208,27846,27468,27866,net.ipv4.tcp_rmem,4096,87380,8000000,net.ipv4.tcp_wmem,4096,16384,200000
187,220422231320,27772,27624,27668,net.ipv4.tcp_rmem,4096,87380,8000000,net.ipv4.tcp_wmem,4096,16384,300000
188,220422231432,27800,27526,27645,net.ipv4.tcp_rmem,4096,87380,8000000,net.ipv4.tcp_wmem,4096,16384,500000
189,220422231543,27399,27783,27595,net.ipv4.tcp_rmem,4096,87380,8000000,net.ipv4.tcp_wmem,4096,16384,750000
190,220422231655,27493,27595,27469,net.ipv4.tcp_rmem,4096,87380,8000000,net.ipv4.tcp_wmem,4096,16384,1000000
191,220422231807,28116,27659,28077,net.ipv4.tcp_rmem,4096,87380,8000000,net.ipv4.tcp_wmem,4096,16384,1500000
192,220422231918,27584,27706,27867,net.ipv4.tcp_rmem,4096,87380,8000000,net.ipv4.tcp_wmem,4096,16384,2000000
193,220422232030,28006,27956,27786,net.ipv4.tcp_rmem,4096,87380,8000000,net.ipv4.tcp_wmem,4096,16384,4000000
194,220422232142,28297,28453,28148,net.ipv4.tcp_rmem,4096,87380,8000000,net.ipv4.tcp_wmem,4096,16384,6000000
195,220422232254,28332,28050,29255,net.ipv4.tcp_rmem,4096,87380,8000000,net.ipv4.tcp_wmem,4096,16384,8000000
196,220422232405,14.7,14.7,14.7,net.ipv4.tcp_rmem,4096,87380,10000000,net.ipv4.tcp_wmem,4096,16384,20000
197,220422232517,14.7,14.7,14.7,net.ipv4.tcp_rmem,4096,87380,10000000,net.ipv4.tcp_wmem,4096,16384,40000
198,220422232629,26355,27070,26816,net.ipv4.tcp_rmem,4096,87380,10000000,net.ipv4.tcp_wmem,4096,16384,75000
199,220422232740,27086,26853,26913,net.ipv4.tcp_rmem,4096,87380,10000000,net.ipv4.tcp_wmem,4096,16384,100000
200,220422232852,27886,27973,28133,net.ipv4.tcp_rmem,4096,87380,10000000,net.ipv4.tcp_wmem,4096,16384,150000
201,220422233004,27732,27812,28217,net.ipv4.tcp_rmem,4096,87380,10000000,net.ipv4.tcp_wmem,4096,16384,200000
202,220422233115,27676,27709,27439,net.ipv4.tcp_rmem,4096,87380,10000000,net.ipv4.tcp_wmem,4096,16384,300000
203,220422233227,27803,27706,27935,net.ipv4.tcp_rmem,4096,87380,10000000,net.ipv4.tcp_wmem,4096,16384,500000
204,220422233339,27818,27470,27838,net.ipv4.tcp_rmem,4096,87380,10000000,net.ipv4.tcp_wmem,4096,16384,750000
205,220422233450,27255,27774,27522,net.ipv4.tcp_rmem,4096,87380,10000000,net.ipv4.tcp_wmem,4096,16384,1000000
206,220422233602,27892,27669,27936,net.ipv4.tcp_rmem,4096,87380,10000000,net.ipv4.tcp_wmem,4096,16384,1500000
207,220422233714,28047,27544,27754,net.ipv4.tcp_rmem,4096,87380,10000000,net.ipv4.tcp_wmem,4096,16384,2000000
208,220422233826,27480,28243,28450,net.ipv4.tcp_rmem,4096,87380,10000000,net.ipv4.tcp_wmem,4096,16384,4000000
209,220422233937,29568,28142,28344,net.ipv4.tcp_rmem,4096,87380,10000000,net.ipv4.tcp_wmem,4096,16384,6000000
210,220422234109,28489,28295,28425,net.ipv4.tcp_rmem,4096,87380,10000000,net.ipv4.tcp_wmem,4096,16384,8000000
